position1,condition1,position2,condition2,color (962$f),Primary or secondary status (962$g),Type of process used on color (962$i)
007/00,v,007/03,a,one color,primary,
007/00,m,007/03,a,one color,primary,
007/00,v,007/03,b,black and white,primary,
007/00,m,007/03,b,black and white,primary,
007/00,v,007/03,c,color,primary,
007/00,m,007/03,c,color,primary,
007/00,v,007/03,h,color,primary,hand-colored
007/00,m,007/03,h,color,primary,hand-colored
007/00,v,007/03,z,unspecified,primary,
007/00,m,007/03,z,unspecified,primary,
007/00,v,007/03,m,color,primary,
007/00,v,007/03,m,black and white,primary,
007/00,m,007/03,m,color,primary,
007/00,m,007/03,m,black and white,primary,
