position1,condition1,position2,condition2,position3,condition3,position4,condition4,Duration (961$f),Duration type ($961g),Duration qualifier (961$i),Duration validity ($961j)
LDR/06,g,008/33,m,008/18-20,001-999,,,PxxHxxMxxS,total,,correct
LDR/06,g,008/33,v,008/18-20,001-999,,,PxxHxxMxxS,total,,correct
LDR/06,g,008/33,m,008/18-20,000,,,P16H39M,total,over,correct
LDR/06,g,008/33,v,008/18-20,000,,,P16H39M,total,over,correct
LDR/06,g,008/33,m,008/18-20,!= 000-999,,,unspecified,total,,correct
LDR/06,g,008/33,v,008/18-20,!= 000-999,,,unspecified,total,,correct
LDR/06,m,006/00,g,006/16,m,006/01-03,001-999,PxxHxxMxxS,total,,correct
LDR/06,m,006/00,g,006/16,n,006/01-03,001-999,PxxHxxMxxS,total,,correct
LDR/06,m,006/00,g,006/16,m,006/01-03,000,P16H39M,total,over,correct
LDR/06,m,006/00,g,006/16,v,006/01-03,000,P16H39M,total,over,correct
LDR/06,m,006/00,g,006/16,m,006/01-03,!= 000-999,unspecified,total,,correct
LDR/06,m,006/00,g,006/16,v,006/01-03,!= 000-999,unspecified,total,,correct
